source_id,pmfs_i,pmfs_j,x_m,y_m,primary_raw_nss,secondary_log1p_nss,raw_nss_seed_2026092401,raw_nss_seed_2026092402
pmfs_16_15,16,15,-0.44273000000000007,-2.8008799999999994,3.9743837336164227,3.9595873399479093,4.0863372612042221,3.9395461841812551
pmfs_3_19,3,19,-4.3427299999999995,-1.6008799999999992,3.989692087776556,2.1849656076226918,3.8961609015353829,4.0892356868208406
pmfs_4_16,4,16,-4.04273,-2.5008799999999995,4.0042313310853634,2.1736328196980135,4.6608514495833004,3.4223790274855164
pmfs_2_12,2,12,-4.64273,-3.7008799999999997,4.0498953161875688,2.3205141192949643,4.4121975082598555,3.7389705644582327
pmfs_5_16,5,16,-3.74273,-2.5008799999999995,4.12105869241958,2.1866842723209254,4.6995405884814572,3.5986141729126775
pmfs_8_24,8,24,-2.84273,-0.10088000000000008,4.1249119595549999,2.8727270349133893,3.9412777041241727,4.3611953347071015
pmfs_23_31,23,31,1.6572699999999996,1.9991199999999996,4.1388190632553012,2.2804616211446271,4.5999229985133896,3.7154495769795277
pmfs_22_31,22,31,1.3572699999999998,1.9991199999999996,4.1392254245074307,2.2603754924831572,4.6637359317524325,3.6650153549511386
pmfs_2_17,2,17,-4.64273,-2.2008799999999997,4.2120957539841246,3.2946209630218481,4.2885896276516329,4.1874708764065831
pmfs_6_7,6,7,-3.44273,-5.20088,4.270348990096676,2.6625048812023633,4.0305285464271012,4.5265984125948195
pmfs_8_14,8,14,-2.84273,-3.100879999999999,4.3447036620475981,2.3899525839218025,5.2976237311775378,3.5276149284510554
pmfs_7_7,7,7,-3.14273,-5.20088,4.35225025955181,2.6972718605182875,4.1495831217833468,4.5732144541631961
pmfs_12_25,12,25,-1.6427300000000002,0.19912000000000063,4.3650450468253696,3.2360607671627508,4.2478917467015673,4.5032267925847966
pmfs_10_25,10,25,-2.24273,0.19912000000000063,4.4205489241482532,3.2468371176228721,4.5939494396157325,4.2672097917337535
pmfs_12_14,12,14,-1.6427300000000002,-3.100879999999999,4.4644565166687435,2.8294180765363381,4.7031722930950624,4.2404044689700617
pmfs_4_17,4,17,-4.04273,-2.2008799999999997,4.5011392670760326,2.2548309746396207,5.2248226177517703,3.8526494898378156
pmfs_4_21,4,21,-4.04273,-1.0008799999999995,4.5269531864409016,2.3326580197852862,4.407478064337238,4.6620166927348805
pmfs_3_16,3,16,-4.3427299999999995,-2.5008799999999995,4.5496229404790238,3.0469744519339095,5.1399570550805445,4.0667802188455981
pmfs_7_6,7,6,-3.14273,-5.5008799999999995,4.5583715174254911,2.7854033234085471,4.3528941126129812,4.7827385262993527
pmfs_3_14,3,14,-4.3427299999999995,-3.100879999999999,4.5883444746529349,2.7624270391529557,4.5595855482665053,4.6480036608089845
pmfs_15_13,15,13,-0.7427299999999999,-3.4008799999999995,4.6013700396318491,3.0518716176563889,4.3259624003717159,4.9124799317306049
pmfs_13_22,13,22,-1.34273,-0.7008799999999997,4.7211835964166138,3.352477320644033,4.8798885563468843,4.5788302495155353
pmfs_19_16,19,16,0.4572700000000003,-2.5008799999999995,4.7332110483031968,4.0098848018125581,4.9327629425447217,4.6031472415822137
pmfs_6_8,6,8,-3.44273,-4.900879999999999,4.7344449922139598,2.6841379093530917,4.852401931001018,4.6239794507999186
pmfs_6_6,6,6,-3.44273,-5.5008799999999995,4.7618134137005228,2.8404828394069139,4.564399449985987,4.9744927222834292
pmfs_5_17,5,17,-3.74273,-2.2008799999999997,4.8192771132729675,2.3364819773378271,5.3302413696660951,4.3483663232095768
pmfs_18_21,18,21,0.15726999999999958,-1.0008799999999995,4.8241599257279804,2.5003540102082544,5.6569182074456164,4.0752774125306299
pmfs_3_12,3,12,-4.3427299999999995,-3.7008799999999997,4.8633701627594874,2.4152941576187454,5.2866542552685853,4.485915432733278
pmfs_11_25,11,25,-1.94273,0.19912000000000063,4.8850563933108422,3.4251391652404402,4.9981609628583001,4.7929290453835236
pmfs_8_6,8,6,-2.84273,-5.5008799999999995,4.927766367024244,2.9014439881572862,4.7204778642855159,5.1609168975428812
pmfs_8_7,8,7,-2.84273,-5.20088,4.9596053445910862,2.8186199050335361,4.9724904005159383,4.9588279809616607
pmfs_3_18,3,18,-4.3427299999999995,-1.90088,4.9622391681383258,2.3387191215839351,5.8151100828066333,4.205288611412568
pmfs_7_15,7,15,-3.14273,-2.8008799999999994,5.0192783110193924,2.5198738875832776,6.2359856780312262,3.9777188014248539
pmfs_4_20,4,20,-4.04273,-1.3008799999999994,5.0453283151952499,2.3960997668086663,5.0254338088749382,5.0796062647357259
pmfs_4_12,4,12,-4.04273,-3.7008799999999997,5.048825079029009,2.5752031838392386,5.2362400646149965,4.8941847897312529
pmfs_7_8,7,8,-3.14273,-4.900879999999999,5.1321156476929346,2.7646644366945354,5.2757956386150502,4.9955771270345615
pmfs_3_17,3,17,-4.3427299999999995,-2.2008799999999997,5.132582305450077,2.8862661774024789,5.940954540755583,4.4441451376941377
pmfs_22_32,22,32,1.3572699999999998,2.2991200000000003,5.1563594122914429,2.4844135825895122,5.8182806318066378,4.5548438203678661
pmfs_12_24,12,24,-1.6427300000000002,-0.10088000000000008,5.1610286268937093,3.5054884740670316,5.3388904380057109,5.0035764117880568
pmfs_13_21,13,21,-1.34273,-1.0008799999999995,5.2573307529702884,3.5002279017024409,5.4812182660843192,5.0596635883227172
pmfs_4_18,4,18,-4.04273,-1.90088,5.2767823620810432,2.387452222557942,6.121161394037836,4.5186072995663249
pmfs_2_16,2,16,-4.64273,-2.5008799999999995,5.277414111698965,3.3702792648356334,5.2942717752199489,5.3043921721496785
pmfs_9_8,9,8,-2.54273,-4.900879999999999,5.3139087135000596,2.8132027871843794,5.4446100184263289,5.1895544828564866
